GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; Total: - Less than 5 minutes
HD02_VD02,Margin of Error; Total: - Less than 5 minutes
HD01_VD03,Estimate; Total: - 5 to 9 minutes
HD02_VD03,Margin of Error; Total: - 5 to 9 minutes
HD01_VD04,Estimate; Total: - 10 to 14 minutes
HD02_VD04,Margin of Error; Total: - 10 to 14 minutes
HD01_VD05,Estimate; Total: - 15 to 19 minutes
HD02_VD05,Margin of Error; Total: - 15 to 19 minutes
HD01_VD06,Estimate; Total: - 20 to 24 minutes
HD02_VD06,Margin of Error; Total: - 20 to 24 minutes
HD01_VD07,Estimate; Total: - 25 to 29 minutes
HD02_VD07,Margin of Error; Total: - 25 to 29 minutes
HD01_VD08,Estimate; Total: - 30 to 34 minutes
HD02_VD08,Margin of Error; Total: - 30 to 34 minutes
HD01_VD09,Estimate; Total: - 35 to 39 minutes
HD02_VD09,Margin of Error; Total: - 35 to 39 minutes
HD01_VD10,Estimate; Total: - 40 to 44 minutes
HD02_VD10,Margin of Error; Total: - 40 to 44 minutes
HD01_VD11,Estimate; Total: - 45 to 59 minutes
HD02_VD11,Margin of Error; Total: - 45 to 59 minutes
HD01_VD12,Estimate; Total: - 60 to 89 minutes
HD02_VD12,Margin of Error; Total: - 60 to 89 minutes
HD01_VD13,Estimate; Total: - 90 or more minutes
HD02_VD13,Margin of Error; Total: - 90 or more minutes
